item_number,name,year,theme,subtheme,pieces,minifigures,image_url,gbp_msrp,usd_msrp,cad_msrp,eur_msrp,packaging,availability
3650,Stack 'n' Learn First Rollabout,2002,Explore,Being Me,6,1,http://images.brickset.com/sets/images/3650-1.jpg,4.99,5,NA,NA,Not specified,Not specified
3651,Stack 'n' Learn Friends,2002,Explore,Being Me,10,2,http://images.brickset.com/sets/images/3651-1.jpg,9.99,10,NA,NA,Not specified,Not specified
3652,Lady Bird Collection,2002,Explore,Being Me,17,NA,http://images.brickset.com/sets/images/3652-1.jpg,14.99,15,NA,NA,Not specified,Not specified
3739,Blacksmith Shop,2002,Castle,My Own Creation,619,2,http://images.brickset.com/sets/images/3739-1.jpg,29.99,40,NA,NA,Box,LEGO exclusive
3806,Gigamesh G60,2002,Spybotics,,244,NA,http://images.brickset.com/sets/images/3806-1.jpg,59.99,60,NA,NA,Not specified,Not specified
3807,Snaptrax S45,2002,Spybotics,,202,NA,http://images.brickset.com/sets/images/3807-1.jpg,59.99,60,NA,NA,Not specified,Not specified
3808,Shadowstrike S70,2002,Spybotics,,235,NA,http://images.brickset.com/sets/images/3808-1.jpg,59.99,60,NA,NA,Not specified,Not specified
3809,Technojaw T55,2002,Spybotics,,260,NA,http://images.brickset.com/sets/images/3809-1.jpg,59.99,60,NA,NA,Not specified,Not specified
3929,Biff Starling Astrobot Minifigure,2002,Promotional,Minifigure,5,1,http://images.brickset.com/sets/images/3929-1.jpg,NA,0,NA,NA,Polybag,Promotional
4080,Brick Bucket Small,2002,Explore,Imagination,45,NA,http://images.brickset.com/sets/images/4080-1.jpg,9.99,NA,NA,NA,Not specified,Not specified
4082,Brick Bucket Small,2002,Explore,Imagination,45,NA,http://images.brickset.com/sets/images/4082-1.jpg,9.99,NA,NA,NA,Not specified,Not specified
4085,Brick Bucket Large,2002,Explore,Imagination,90,NA,http://images.brickset.com/sets/images/4085-1.jpg,14.99,10,NA,NA,Not specified,Not specified
4087,"Basic Flexible Bucket, Large",2002,Explore,Imagination,90,NA,http://images.brickset.com/sets/images/4087-1.jpg,9.99,NA,NA,NA,Not specified,Not specified
4088,Clown Bucket,2002,Explore,Imagination,90,NA,http://images.brickset.com/sets/images/4088-1.jpg,9.99,NA,NA,NA,Not specified,Not specified
4089,Orange Bucket XL,2002,Explore,Imagination,90,NA,http://images.brickset.com/sets/images/4089-1.jpg,9.99,NA,NA,NA,Not specified,Not specified
4103,Creator Bucket,2002,Creator,,200,NA,http://images.brickset.com/sets/images/4103-1.jpg,9.99,5,NA,NA,Bucket,Retail
4104,Creator Bucket,2002,Creator,,200,NA,http://images.brickset.com/sets/images/4104-1.jpg,5.99,NA,NA,NA,Bucket,Retail
4105,Creator Bucket,2002,Creator,,500,NA,http://images.brickset.com/sets/images/4105-1.jpg,9.99,10,NA,NA,Bucket,Retail
4106,Creator Bucket,2002,Creator,,500,NA,http://images.brickset.com/sets/images/4106-1.jpg,9.99,10,NA,NA,Bucket,Retail
