dates,ribex,raena,rmel,rams,riag,vaccine_r
2020-03-16,-0.08207605039653092,-0.16281813138087253,-0.2046326657795062,-0.07725425521865262,-0.32713898862385055,0
2020-03-17,0.062102946101152454,0.06976153903831507,0.0031142971293587804,-0.01573406094194328,-0.08391712779306663,0
2020-03-18,-0.035029800116246124,0.07533219803786873,-0.15872164145308107,-0.10584581434752349,-0.10637968677871963,0
2020-03-19,0.019099913527322106,-0.008981332847977488,0.05183979226070202,0.09475258719228781,-0.10055381429665572,0
2020-03-20,0.007399306518428311,0.1794684756825161,0.07785772985309866,-0.05419636432409811,0.10437268260762679,0
2020-03-23,-0.03363233465704281,-0.2098396127528437,0.020279528950529088,-0.018821705172873224,-0.08805215583418276,0
2020-03-24,0.07527779274177673,0.04357882601727256,0.23089262146145942,0.044973365642731196,0.08039905999928583,0
2020-03-25,0.03296126289204896,0.030913732043614917,-0.06853054240710868,0.12011725422286149,0.07362016389314918,0
2020-03-26,0.012994300068097155,0.03174859250979681,0.03922071315328133,-0.014087746329065223,0.007504689419572946,0
2020-03-27,-0.036974517011257896,-0.07066048240304884,-0.03922071315328127,-0.05115751594237715,-0.06419729239770601,0
2020-03-30,-0.017562850293012026,-0.05385725813829926,-0.0101850250583653,-0.01297980165255939,-0.041993932894946844,0
2020-03-31,0.018668775970804494,-0.00780708456805104,0.04426433871122779,-0.009904491657314666,0.0648123447438128,0
2020-04-01,-0.03082968980615112,-0.015391176193630132,-0.015061307817100723,-0.012344468069643186,-0.06568775528678143,0
2020-04-02,-8.058394019534879e-4,0.02519025676446995,-0.02115361796618341,-0.030456768728353723,0.011324645419227057,0
2020-04-03,0.001140190290259397,0.019705058346874325,-0.008588351232554102,0.014630336683152645,-0.025884416698445628,0
2020-04-06,0.03913826883101938,0.0697081162007548,0.027122109172611965,0.05354078949629861,0.12516239368014603,0
2020-04-07,0.02277966193887493,0.04449132589558617,0.11439617110500017,0.10060989033095982,0.07478062867823226,0
2020-04-08,-0.007195231733154394,-8.707176175412147e-4,0.0060648658025608685,-0.01294053194970651,0.035040906728084964,0
2020-04-09,0.016944764997907955,0.12503145505459343,0.016147986407982158,0.027125187062387004,-0.011662665870947131,0
2020-04-14,0.005359976649028523,0.028399474521697957,-0.005047039848535779,0.02464349669706517,-0.011800896718632574,0
2020-04-15,-0.038590702898894075,-0.039156740159596866,-0.03510774786052163,-0.10549137751388823,-0.10456142990299053,0
2020-04-16,-0.01118892184363319,0.010757265637898895,-0.040841845439849665,-0.0037154890020014808,-7.994900393623002e-4,0
2020-04-17,0.016482264355210444,0.007380123637491784,0.04131814933073107,0.010238647667956208,0.07021822580949079,0
2020-04-20,-0.006463703262533701,-0.03238142584290896,-0.02020270731751958,0.011207035520845066,-0.031797408963568634,0
2020-04-21,-0.02920068748624589,-0.055521648338284976,-0.007804917669384091,-0.07219743728178175,-0.00617242549523039,0
2020-04-22,0.01271478185852108,0.015929575775497896,-0.01978303884944496,-0.0039237902870266845,-0.013245444225076532,0
2020-04-23,0.003965488720024261,0.016543703033231588,0.014873848823206663,-0.005565923330912932,0.016337069731062553,0
2020-04-24,-0.01985037170428713,-0.019181102364213318,-0.036586390753831695,-0.006298866037628951,-0.040147718424780994,0
2020-04-27,0.01766905788259394,0.01050802133645295,0.035108921881273805,0.006298866037628829,0.01554159051815828,0
2020-04-28,0.015418724890171225,0.00953625758409145,-0.024446216137233755,0.002554896261954668,-0.009535229957640527,0
2020-04-29,0.03157456547386006,-0.013026671173746398,0.0893235167480093,0.010843363453566913,0.0502151723243033,0
2020-04-30,-0.01908777225175008,0.009569433533633346,-0.032866808080351986,0.007771376254849484,-0.03241088419110275,0
2020-05-04,-0.03663359519872387,-0.053345980705292735,-0.027584618573568174,-0.047083877003145744,-0.08338160893905101,0
2020-05-05,0.01108727399654743,-0.008253160172926858,-0.03140053644744779,-0.021713807956480046,-0.0395616526745201,0
2020-05-06,-0.011327005732427524,-0.002766207375853021,-0.02928542189183878,-0.036765193824640656,0.003541144932983848,0
2020-05-07,0.008834120480322201,0.00552486659661186,0,0.010571430070445436,-0.03278892885943496,0
2020-05-08,0.007725389317130531,-0.009225157504617533,0.016546396114408935,0.018604034487422802,0.027028651859876185,0
2020-05-11,-0.016484569190040918,-0.020600026305792305,-0.025449309069363324,-0.03832651977522582,-0.0628223598320484,0
2020-05-12,0.01347257757917619,-0.010461331983614253,-0.06072325897971006,-0.01647823073238468,-0.022977698911712852,0
2020-05-13,-0.019606318915478198,-0.02517071922609236,-0.0808815166140929,-0.029506829033504205,-0.04963823245155039,0
2020-05-14,-0.013022845350912231,0.00781256891967267,0.010250315856167884,-0.007514876918076331,-0.02838884380132286,0
2020-05-15,-0.010859934849358021,0.013526718324535494,0.02195282463846698,-0.05254174951732601,-0.007094266892777568,0
2020-05-18,0.045940674704870336,0.07397086582214842,0.08759805931798598,0.13919389351819164,0.1062047375797107,0
2020-05-19,-0.02542632093638323,-0.001784095055533128,-0.03501451784510203,0.05992686623515422,0.07971423665335345,0
2020-05-20,0.011209277116592132,8.924409418064116e-4,-0.02995420334212391,0.012485711333322887,-0.030225022538910372,0
2020-05-21,3.739799685090438e-4,0.020309784191314028,0.008569032725101367,0.010969031370573937,0.04067880727697431,0
2020-05-22,0.0017035632675098515,0.014750775049102053,-0.011441772419784942,-0.005926572944903404,-0.07557623094210193,0
2020-05-25,0.02350650972698673,0.047928508429021535,0.23572233352106994,0.0462393687545877,0.12584948779964106,0
2020-05-26,0.021226290610179784,0.05354852442893615,0.1278333715098848,0.03073860393821781,0.07651895283041085,0
2020-05-27,0.024065950032531026,0.03817257350502981,-0.03252319170556006,0.058779934504495486,0.05350457695799569,0
2020-05-28,0.006889599524654591,-0.011299555253933394,-0.02468228206521909,-0.03514120200973849,-0.008720983724605997,0
2020-05-29,-0.017820967573803456,-0.02921040150073752,-0.056635342652980536,-0.03000959704183503,-0.0757942657051882,0
2020-06-01,0.017447121596655003,0.024654539302775256,0.07842087119249919,0.02441196641258794,0.06920325089072123,0
2020-06-02,0.02552518304778748,0.04173486543971638,-0.016715809189268013,0.013628128064169787,0.031461937581692516,0
2020-06-03,0.029041889945513582,0.05468168707676285,0.01961256271496837,0.03029922872652661,0.10788468582010546,0
2020-06-04,-0.007845668308231862,-0.05322291947899243,-0.01834913866819654,-0.010601119595722266,0.022124966051765123,0
2020-06-05,0.03961815776692622,0.045592004970957375,0.0687122485020876,0.07456752871717591,0.13871466190206827,0
